"nome","partido","uf","cargo","sequencial"
"JERRIMAR NOGUEIRA DE CASTRO","PTC","AM","DEPUTADO ESTADUAL",40000000273
"CELSO LUIZ MORAES DA COSTA JUNIOR","PTC","AM","DEPUTADO ESTADUAL",40000000274
"JONAS DOS SANTOS MOURA","PTC","AM","DEPUTADO ESTADUAL",40000000275
"RAFAEL DE ARAÚJO ROMANO JÚNIOR","PTC","AM","DEPUTADO ESTADUAL",40000000276
"CEZAR AUGUSTO BARROSO DE MORAES","PTC","AM","DEPUTADO ESTADUAL",40000000277
"MOISÉS XAVIER SANTANA","PTC","AM","DEPUTADO ESTADUAL",40000000278
"JEOVAM JORGE MARTINIANO BARBOSA","PTC","AM","DEPUTADO ESTADUAL",40000000279
"GUTEMBERG CASTRO DOS SANTOS","PTC","AM","DEPUTADO ESTADUAL",40000000280
"ELIELTON DE CASTRO ROFÉ DO NASCIMENTO","PTC","AM","DEPUTADO ESTADUAL",40000000281
"MOUHAMAD MOURAD","PTC","AM","DEPUTADO ESTADUAL",40000000282
"CLODOALDO DIAS DA SILVA","PTC","AM","DEPUTADO ESTADUAL",40000000283
"SEBASTIÃO SILVA DE ABREU","PTC","AM","DEPUTADO ESTADUAL",40000000284
"MARILEU JORGE DUARTE VARELA","PTC","AM","DEPUTADO ESTADUAL",40000000285
"MARIO DA MOTA ALMEIDA","PTC","AM","DEPUTADO ESTADUAL",40000000286
"DOUGLAS BATISTA DE OLIVEIRA","PV","AM","DEPUTADO ESTADUAL",40000000287
"EDIMARA COSTA DE ARAÚJO","PV","AM","DEPUTADO ESTADUAL",40000000288
"MARIA GERCIANE RIBEIRO DE ALMEIDA","PV","AM","DEPUTADO ESTADUAL",40000000289
"MARCIA VITOR DE MORAES","PV","AM","DEPUTADO ESTADUAL",40000000290
"RONALD DA SILVA MAGALHÃES","PTC","AM","DEPUTADO ESTADUAL",40000000291
"CARLOS ALBERTO BRITO DAVILA","PV","AM","DEPUTADO ESTADUAL",40000000292
"ELIESIO DA SILVA VARGAS","PV","AM","DEPUTADO ESTADUAL",40000000293
"ELDA MARIA DE OLIVEIRA MENDONÇA","PV","AM","DEPUTADO ESTADUAL",40000000294
"TATIANA FERREIRA VIEIRA","PV","AM","DEPUTADO ESTADUAL",40000000295
"KATIA CILENE DOS SANTOS SILVA","PSC","AM","DEPUTADO FEDERAL",40000000338
"SARAH KALILAH FERNANDES FURTADO","PTN","AM","DEPUTADO FEDERAL",40000000339
"LUIS FELIPE SILVA DE SOUZA","PTN","AM","DEPUTADO FEDERAL",40000000340
"MAURICIO WILKER DE AZEVEDO BARRETO","PHS","AM","DEPUTADO FEDERAL",40000000341
"LUIZ GONZAGA OLIVEIRA DE MORAES","PHS","AM","DEPUTADO FEDERAL",40000000342
"SUELI GOMES DE MEDEIROS","PHS","AM","DEPUTADO FEDERAL",40000000343
"GILMAR EDUARDO COSTA DO COUTO","PSL","AM","DEPUTADO FEDERAL",40000000344
"PAUDERNEY TOMAZ AVELINO","DEM","AM","DEPUTADO FEDERAL",40000000345
"MONICA GOMES DA SILVA PITANGA","PV","AM","DEPUTADO FEDERAL",40000000346
"ALONSO OLIVEIRA DE SOUZA","PTC","AM","DEPUTADO FEDERAL",40000000347
"MAYSA COSTA DA SILVA","PR","AM","DEPUTADO FEDERAL",40000000348
"ALFREDO PEREIRA DO NASCIMENTO","PR","AM","DEPUTADO FEDERAL",40000000349
"JOSE ADALBERTO DA SILVA","PV","AM","DEPUTADO FEDERAL",40000000350
"WALFRAN DE SOUZA TORRES","PTC","AM","DEPUTADO FEDERAL",40000000351
"VILMA FLORENÇO QUEIROZ","PROS","AM","DEPUTADO FEDERAL",40000000352
"ARTHUR VIRGILIO DO CARMO RIBEIRO BISNETO","PSDB","AM","DEPUTADO FEDERAL",40000000353
"CARLOS CRISTIANO FELIX","PROS","AM","DEPUTADO FEDERAL",40000000354
"ERIVALDO COUTINHO AGUIAR","PEN","AM","DEPUTADO FEDERAL",40000000355
"ATILA SIDNEY LINS DE ALBUQUERQUE","PSD","AM","DEPUTADO FEDERAL",40000000356
"CARLOS ALBERTO CAVALCANTE DE SOUZA","PSD","AM","DEPUTADO FEDERAL",40000000357
"FRANCISCO RITTA BERNARDINO JUNIOR","PSD","AM","DEPUTADO FEDERAL",40000000358
"GUARACY DE JESUS DIAS REBELO","PSD","AM","DEPUTADO FEDERAL",40000000359
