nome,partido,uf,cargo,sequencial
"JOSE TEIXEIRA FILHO",PRP,SP,"DEPUTADO ESTADUAL",250000002881
"JOSÉ APARECIDO FERNANDES",PT,SP,"DEPUTADO ESTADUAL",250000000551
"ANDRE FABIANO ADRIANO",PRP,SP,"DEPUTADO ESTADUAL",250000002830
"RUFINO MAXIMO DA SILVA",PRP,SP,"DEPUTADO ESTADUAL",250000002870
"MONICA LIMA OTANI",PHS,SP,"DEPUTADO ESTADUAL",250000003352
"JEAN PAULO SILVESTRE DO NASCIMENTO",PV,SP,"1º SUPLENTE",250000001101
"CLAUDEMIR CREMONINI",PRP,SP,"DEPUTADO ESTADUAL",250000002810
"MARCO AURELIO DE SOUZA",PT,SP,"DEPUTADO ESTADUAL",250000000567
"JOSE BENEDITO DE LIMA",PSB,SP,"DEPUTADO FEDERAL",250000001408
"ISAEL DOMINGUES",PV,SP,"DEPUTADO FEDERAL",250000000931
"RICARDO MORAGHI",PMDB,SP,"DEPUTADO ESTADUAL",250000002724
"RUI CELIO GOMES FOLHA",PEN,SP,"DEPUTADO ESTADUAL",250000003846
"KATIA CRISTINA DO NASCIMENTO",PTN,SP,"DEPUTADO FEDERAL",250000003541
"LUIS LIMA DA SILVA",PTC,SP,"DEPUTADO ESTADUAL",250000003646
"JADIRSON TADEU COHEN PARANATINGA",PSB,SP,"DEPUTADO ESTADUAL",250000001137
"DENIS AMBROSIO DA SILVA",PHS,SP,"DEPUTADO FEDERAL",250000002936
"SEBASTIAO PEREIRA DOS SANTOS",PMDB,SP,"DEPUTADO FEDERAL",250000002147
"GILMAR DA SILVA GIMENES",PSDB,SP,"DEPUTADO ESTADUAL",250000001638
"LIGIA BONETE PRESTES",PSDC,SP,"DEPUTADO FEDERAL",250000001916
"VIVIAN LIGIA PIN",PHS,SP,"DEPUTADO ESTADUAL",250000003395
"MARIA DA GLÓRIA MATOS GUILHAMATE",PHS,SP,"DEPUTADO FEDERAL",250000002920
"APARECIDO CARLOS DOS SANTOS",SD,SP,"DEPUTADO ESTADUAL",250000000819
